Processes,Size,Algorithm,Latency
20,1048576,1,4.13
20,1048576,2,75.52
20,1048576,3,10.47
22,2,1,7.82
22,2,2,71.13
22,2,3,12.97
22,4,1,4.41
22,4,2,71.83
22,4,3,12.32
22,8,1,4.32
22,8,2,64.94
22,8,3,9.72
22,16,1,4.17
22,16,2,75.64
22,16,3,13.52
22,32,1,7.64
22,32,2,64.26
22,32,3,16.12
22,64,1,4.93
22,64,2,64.35
22,64,3,15.23
22,128,1,3.90
22,128,2,65.51
22,128,3,15.76
22,256,1,4.25
22,256,2,76.89
22,256,3,14.18
22,512,1,4.55
22,512,2,64.42
22,512,3,13.41
22,1024,1,3.83
22,1024,2,64.15
22,1024,3,14.31
22,2048,1,4.55
22,2048,2,64.19
22,2048,3,13.12
22,4096,1,4.07
22,4096,2,63.39
22,4096,3,9.74
22,8192,1,3.89
22,8192,2,66.63
22,8192,3,10.75
22,16384,1,7.83
22,16384,2,75.17
22,16384,3,18.05
22,32768,1,3.80
22,32768,2,65.28
22,32768,3,9.26
22,65536,1,3.95
22,65536,2,67.75
22,65536,3,15.66
22,131072,1,4.99
22,131072,2,64.02
22,131072,3,10.81
22,262144,1,3.82
22,262144,2,67.57
22,262144,3,10.38
22,524288,1,4.05
22,524288,2,67.88
22,524288,3,15.18
22,1048576,1,3.74
22,1048576,2,64.35
22,1048576,3,15.27
24,2,1,4.86
24,2,2,74.96
24,2,3,13.67
24,4,1,4.38
24,4,2,74.75
24,4,3,12.28
24,8,1,4.67
24,8,2,92.39
24,8,3,8.66
24,16,1,4.27
24,16,2,75.87
24,16,3,14.14
24,32,1,5.24
24,32,2,73.55
24,32,3,11.36
24,64,1,5.43
24,64,2,70.43
24,64,3,8.51
24,128,1,4.93
24,128,2,70.13
24,128,3,
24,256,1,
24,256,2,
24,256,3,
24,512,1,
24,512,2,
24,512,3,
24,1024,1,
24,1024,2,
24,1024,3,
24,2048,1,
24,2048,2,
24,2048,3,
24,4096,1,
24,4096,2,
24,4096,3,
24,8192,1,
24,8192,2,
24,8192,3,
24,16384,1,
24,16384,2,
24,16384,3,
24,32768,1,
24,32768,2,
24,32768,3,
24,65536,1,
24,65536,2,
24,65536,3,
24,131072,1,
24,131072,2,
24,131072,3,
24,262144,1,
24,262144,2,
24,262144,3,
24,524288,1,
24,524288,2,
24,524288,3,
24,1048576,1,
24,1048576,2,
24,1048576,3,
26,2,1,
26,2,2,
26,2,3,
26,4,1,
26,4,2,
26,4,3,
26,8,1,
26,8,2,
26,8,3,
26,16,1,
26,16,2,
26,16,3,
26,32,1,
26,32,2,
26,32,3,
26,64,1,
26,64,2,
26,64,3,
26,128,1,
26,128,2,
26,128,3,
26,256,1,
26,256,2,
26,256,3,
26,512,1,
26,512,2,
26,512,3,
26,1024,1,
26,1024,2,
26,1024,3,
26,2048,1,
26,2048,2,
26,2048,3,
26,4096,1,
26,4096,2,
26,4096,3,
26,8192,1,
26,8192,2,
26,8192,3,
26,16384,1,
26,16384,2,
26,16384,3,
26,32768,1,
26,32768,2,
26,32768,3,
26,65536,1,
26,65536,2,
26,65536,3,
26,131072,1,
26,131072,2,
26,131072,3,
26,262144,1,
