Processes,Size,Algorithm,Latency
18,1024,2,17.55
18,1024,3,33.45
18,2048,1,26.24
18,2048,2,19.36
18,2048,3,41.75
18,4096,1,83.46
18,4096,2,32.81
18,4096,3,84.63
18,8192,1,49.74
18,8192,2,27.45
18,8192,3,82.23
18,16384,1,27.75
18,16384,2,25.64
18,16384,3,56.32
18,32768,1,48.32
18,32768,2,42.75
18,32768,3,88.58
18,65536,1,97.73
18,65536,2,71.83
18,65536,3,113.14
18,131072,1,197.41
18,131072,2,123.87
18,131072,3,197.55
18,262144,1,365.73
18,262144,2,223.52
18,262144,3,369.54
18,524288,1,727.64
18,524288,2,455.68
18,524288,3,664.14
18,1048576,1,1030.88
18,1048576,2,813.43
18,1048576,3,1324.77
20,2,1,4.13
20,2,2,3.99
20,2,3,7.50
20,4,1,3.53
20,4,2,3.39
20,4,3,6.45
20,8,1,3.66
20,8,2,3.45
20,8,3,5.60
20,16,1,2.92
20,16,2,2.92
20,16,3,5.33
20,32,1,3.11
20,32,2,3.00
20,32,3,5.64
20,64,1,2.66
20,64,2,2.71
20,64,3,6.26
20,128,1,36.21
20,128,2,16.10
20,128,3,39.24
20,256,1,53.68
20,256,2,16.67
20,256,3,32.43
20,512,1,34.08
20,512,2,13.88
20,512,3,32.78
20,1024,1,24.08
20,1024,2,17.99
20,1024,3,34.43
20,2048,1,26.28
20,2048,2,21.04
20,2048,3,42.25
20,4096,1,58.08
20,4096,2,34.93
20,4096,3,74.28
20,8192,1,49.64
20,8192,2,32.42
20,8192,3,75.69
20,16384,1,27.56
20,16384,2,28.39
20,16384,3,68.88
20,32768,1,47.19
20,32768,2,39.63
20,32768,3,91.10
20,65536,1,103.75
20,65536,2,63.54
20,65536,3,154.26
20,131072,1,201.52
20,131072,2,125.03
20,131072,3,227.26
20,262144,1,397.94
20,262144,2,227.15
20,262144,3,395.07
20,524288,1,814.81
20,524288,2,428.89
20,524288,3,739.15
20,1048576,1,1369.94
20,1048576,2,873.38
20,1048576,3,1476.08
22,2,1,3.26
22,2,2,3.41
22,2,3,7.31
22,4,1,3.17
22,4,2,3.93
22,4,3,9.50
22,8,1,4.26
22,8,2,3.73
22,8,3,6.31
22,16,1,5.01
22,16,2,3.62
22,16,3,5.87
22,32,1,3.14
22,32,2,3.00
22,32,3,7.51
22,64,1,2.93
22,64,2,2.88
22,64,3,6.13
22,128,1,45.98
22,128,2,13.89
22,128,3,31.30
22,256,1,31.11
22,256,2,16.20
22,256,3,39.47
22,512,1,28.45
22,512,2,13.77
22,512,3,40.94
22,1024,1,25.07
22,1024,2,15.86
22,1024,3,32.95
22,2048,1,30.73
22,2048,2,28.54
22,2048,3,40.24
22,4096,1,51.45
22,4096,2,32.16
22,4096,3,74.94
22,8192,1,54.36
22,8192,2,43.31
22,8192,3,77.66
22,16384,1,24.75
22,16384,2,31.70
22,16384,3,65.07
22,32768,1,48.72
22,32768,2,42.40
22,32768,3,85.05
22,65536,1,107.06
22,65536,2,77.16
22,65536,3,139.09
22,131072,1,213.66
22,131072,2,125.03
22,131072,3,248.56
22,262144,1,444.54
22,262144,2,252.12
22,262144,3,445.68
22,524288,1,781.16
22,524288,2,453.08
22,524288,3,809.17
22,1048576,1,1440.00
22,1048576,2,848.11
22,1048576,3,1617.05
24,2,1,6.65
24,2,2,5.61
24,2,3,8.76
24,4,1,3.31
24,4,2,3.77
24,4,3,6.50
24,8,1,3.27
24,8,2,2.87
24,8,3,6.07
24,16,1,3.90
24,16,2,3.25
24,16,3,7.19
24,32,1,3.57
24,32,2,3.20
24,32,3,7.63
24,64,1,3.81
24,64,2,2.74
24,64,3,7.24
24,128,1,29.54
24,128,2,17.60
24,128,3,37.73
24,256,1,33.06
24,256,2,16.99
24,256,3,47.03
24,512,1,32.97
24,512,2,15.89
24,512,3,44.49
24,1024,1,25.41
24,1024,2,16.82
24,1024,3,38.84
24,2048,1,32.51
24,2048,2,18.51
24,2048,3,47.48
24,4096,1,58.15
24,4096,2,34.86
24,4096,3,97.88
24,8192,1,75.44
24,8192,2,38.48
24,8192,3,95.29
24,16384,1,26.18
24,16384,2,31.23
24,16384,3,76.10
24,32768,1,56.77
24,32768,2,47.95
24,32768,3,112.19
24,65536,1,113.28
24,65536,2,78.21
24,65536,3,156.25
24,131072,1,230.69
24,131072,2,140.99
24,131072,3,285.74
24,262144,1,484.12
24,262144,2,247.27
24,262144,3,477.92
24,524288,1,993.65
24,524288,2,488.05
24,524288,3,878.83
24,1048576,1,1486.68
24,1048576,2,937.26
24,1048576,3,1773.50
26,2,1,5.13
26,2,2,3.36
26,2,3,6.97
26,4,1,3.09
26,4,2,2.83
26,4,3,6.02
26,8,1,4.06
26,8,2,2.58
26,8,3,6.70
26,16,1,3.02
26,16,2,2.78
26,16,3,6.77
26,32,1,3.69
26,32,2,3.44
26,32,3,6.94
26,64,1,2.99
26,64,2,2.97
26,64,3,7.52
26,128,1,30.20
26,128,2,14.39
26,128,3,35.04
26,256,1,34.60
26,256,2,16.66
26,256,3,42.99
26,512,1,32.58
26,512,2,15.23
26,512,3,39.58
26,1024,1,28.50
26,1024,2,15.73
26,1024,3,43.12
26,2048,1,37.43
26,2048,2,17.85
26,2048,3,46.90
26,4096,1,59.15
26,4096,2,32.53
26,4096,3,83.96
26,8192,1,79.12
26,8192,2,35.95
26,8192,3,91.28
26,16384,1,24.59
26,16384,2,28.22
26,16384,3,72.06
26,32768,1,52.12
26,32768,2,42.00
26,32768,3,100.56
26,65536,1,113.04
26,65536,2,71.81
26,65536,3,162.23
26,131072,1,217.22
26,131072,2,130.95
26,131072,3,272.26
26,262144,1,439.77
26,262144,2,267.48
26,262144,3,496.25
26,524288,1,772.21
26,524288,2,540.33
26,524288,3,943.24
26,1048576,1,1647.50
26,1048576,2,965.88
26,1048576,3,1902.21
28,2,1,4.96
28,2,2,3.39
28,2,3,6.86
28,4,1,3.27
28,4,2,2.74
28,4,3,6.35
28,8,1,3.35
28,8,2,2.60
28,8,3,6.63
28,16,1,4.68
28,16,2,2.85
28,16,3,6.67
28,32,1,3.25
28,32,2,3.14
28,32,3,8.00
28,64,1,3.59
28,64,2,2.93
28,64,3,7.97
28,128,1,33.06
28,128,2,14.87
28,128,3,37.91
28,256,1,37.09
28,256,2,16.13
28,256,3,45.81
28,512,1,37.44
28,512,2,15.55
28,512,3,40.04
28,1024,1,38.58
28,1024,2,16.57
28,1024,3,39.65
28,2048,1,32.96
28,2048,2,19.27
28,2048,3,49.47
28,4096,1,65.80
28,4096,2,35.62
28,4096,3,90.51
28,8192,1,70.82
28,8192,2,39.34
28,8192,3,100.44
28,16384,1,26.05
28,16384,2,31.50
28,16384,3,78.61
28,32768,1,51.54
28,32768,2,48.18
28,32768,3,110.25
28,65536,1,101.14
28,65536,2,78.38
28,65536,3,166.58
28,131072,1,202.78
28,131072,2,141.81
28,131072,3,293.47
28,262144,1,408.00
28,262144,2,272.60
28,262144,3,529.64
28,524288,1,758.49
28,524288,2,525.30
28,524288,3,1007.41
28,1048576,1,1456.51
28,1048576,2,970.15
28,1048576,3,2041.85
30,2,1,3.82
30,2,2,3.42
30,2,3,8.42
30,4,1,3.58
30,4,2,2.75
30,4,3,7.09
30,8,1,3.54
30,8,2,2.75
30,8,3,6.79
30,16,1,3.63
30,16,2,2.72
30,16,3,7.74
30,32,1,3.43
30,32,2,2.72
30,32,3,7.91
30,64,1,3.44
30,64,2,2.95
30,64,3,7.22
30,128,1,34.51
30,128,2,14.06
30,128,3,39.76
30,256,1,40.03
30,256,2,16.14
30,256,3,49.05
30,512,1,35.59
30,512,2,16.09
30,512,3,43.77
30,1024,1,32.72
30,1024,2,14.20
30,1024,3,41.59
30,2048,1,36.66
30,2048,2,18.15
30,2048,3,51.21
30,4096,1,67.56
30,4096,2,35.73
30,4096,3,93.78
30,8192,1,74.66
30,8192,2,39.71
30,8192,3,102.14
30,16384,1,26.45
30,16384,2,31.72
30,16384,3,79.67
30,32768,1,48.98
30,32768,2,47.07
30,32768,3,111.56
30,65536,1,101.81
30,65536,2,80.73
30,65536,3,175.69
30,131072,1,193.19
30,131072,2,142.35
30,131072,3,312.12
30,262144,1,381.37
30,262144,2,271.94
30,262144,3,564.75
30,524288,1,780.72
30,524288,2,523.25
30,524288,3,1081.63
30,1048576,1,1445.74
30,1048576,2,983.34
30,1048576,3,2185.41
32,2,1,4.06
32,2,2,3.09
32,2,3,8.42
32,4,1,4.20
32,4,2,2.79
32,4,3,7.79
32,8,1,3.42
32,8,2,2.58
32,8,3,7.41
32,16,1,4.03
32,16,2,2.86
32,16,3,7.56
32,32,1,4.04
32,32,2,2.85
32,32,3,9.69
32,64,1,4.02
32,64,2,2.96
32,64,3,8.54
32,128,1,39.19
32,128,2,16.82
32,128,3,46.41
32,256,1,31.27
32,256,2,15.80
32,256,3,36.74
32,512,1,25.67
32,512,2,12.77
32,512,3,33.61
32,1024,1,32.26
32,1024,2,17.34
32,1024,3,41.53
32,2048,1,40.85
32,2048,2,22.17
32,2048,3,59.53
32,4096,1,64.89
32,4096,2,37.51
32,4096,3,98.28
32,8192,1,72.01
32,8192,2,37.53
32,8192,3,93.82
32,16384,1,26.02
32,16384,2,30.40
32,16384,3,84.31
32,32768,1,48.67
32,32768,2,45.57
32,32768,3,122.74
32,65536,1,93.46
32,65536,2,74.83
32,65536,3,188.54
32,131072,1,197.40
32,131072,2,133.24
32,131072,3,328.26
32,262144,1,372.89
32,262144,2,250.30
32,262144,3,599.08
32,524288,1,771.20
32,524288,2,491.45
32,524288,3,1139.81
32,1048576,1,1518.06
32,1048576,2,962.92
32,1048576,3,2316.26
34,2,1,6.16
34,2,2,4.93
34,2,3,9.76
34,4,1,5.42
34,4,2,4.76
34,4,3,8.52
34,8,1,5.57
34,8,2,4.62
34,8,3,8.63
34,16,1,5.66
34,16,2,4.64
34,16,3,8.42
34,32,1,5.69
34,32,2,5.35
34,32,3,9.34
34,64,1,5.88
34,64,2,5.03
34,64,3,10.39
34,128,1,42.33
34,128,2,18.04
34,128,3,47.21
34,256,1,33.03
34,256,2,17.31
34,256,3,40.84
34,512,1,27.62
34,512,2,14.11
34,512,3,33.54
34,1024,1,34.50
34,1024,2,18.95
34,1024,3,44.08
34,2048,1,43.67
34,2048,2,22.79
34,2048,3,62.24
34,4096,1,68.24
34,4096,2,38.51
34,4096,3,99.11
34,8192,1,77.12
34,8192,2,40.03
34,8192,3,102.80
34,16384,1,28.71
34,16384,2,34.20
34,16384,3,87.85
34,32768,1,47.72
34,32768,2,49.47
34,32768,3,127.37
34,65536,1,99.34
34,65536,2,82.03
34,65536,3,198.20
34,131072,1,199.42
34,131072,2,141.12
34,131072,3,349.25
34,262144,1,396.46
34,262144,2,266.56
34,262144,3,637.45
34,524288,1,789.00
34,524288,2,494.01
34,524288,3,1210.64
34,1048576,1,1404.85
34,1048576,2,929.70
34,1048576,3,2455.99
36,2,1,5.33
36,2,2,5.06
36,2,3,9.70
36,4,1,5.36
36,4,2,5.19
36,4,3,8.76
36,8,1,5.08
36,8,2,4.75
36,8,3,8.68
36,16,1,6.40
36,16,2,4.83
36,16,3,9.10
36,32,1,5.61
36,32,2,4.99
36,32,3,9.22
36,64,1,5.05
36,64,2,5.51
36,64,3,10.08
36,128,1,39.41
36,128,2,19.29
36,128,3,49.26
36,256,1,33.26
36,256,2,18.86
36,256,3,43.26
36,512,1,27.70
36,512,2,15.28
36,512,3,35.79
36,1024,1,38.74
36,1024,2,20.18
36,1024,3,72.98
36,2048,1,44.53
36,2048,2,24.60
36,2048,3,64.42
36,4096,1,69.14
36,4096,2,39.31
36,4096,3,104.96
36,8192,1,79.45
36,8192,2,42.49
36,8192,3,110.65
36,16384,1,28.52
36,16384,2,36.15
36,16384,3,92.92
36,32768,1,52.13
36,32768,2,52.09
36,32768,3,134.39
36,65536,1,96.02
36,65536,2,83.95
36,65536,3,210.13
36,131072,1,196.55
36,131072,2,148.95
36,131072,3,366.21
36,262144,1,398.78
36,262144,2,273.38
36,262144,3,673.43
36,524288,1,796.39
36,524288,2,487.79
36,524288,3,1280.11
36,1048576,1,1545.58
36,1048576,2,1048.21
36,1048576,3,2887.31
38,2,1,5.65
38,2,2,5.44
38,2,3,9.80
38,4,1,4.62
38,4,2,4.71
38,4,3,8.57
38,8,1,4.35
38,8,2,4.34
38,8,3,9.10
38,16,1,5.29
38,16,2,5.27
38,16,3,8.39
38,32,1,5.24
38,32,2,4.48
38,32,3,9.82
38,64,1,5.10
38,64,2,4.70
38,64,3,9.93
38,128,1,44.13
38,128,2,19.03
38,128,3,52.54
38,256,1,41.47
38,256,2,18.34
38,256,3,44.27
38,512,1,27.14
38,512,2,15.10
38,512,3,37.15
38,1024,1,35.40
38,1024,2,19.40
38,1024,3,49.15
38,2048,1,53.60
38,2048,2,24.92
38,2048,3,67.35
38,4096,1,72.60
38,4096,2,38.31
38,4096,3,110.07
38,8192,1,83.76
38,8192,2,44.58
38,8192,3,115.07
38,16384,1,33.25
38,16384,2,36.40
38,16384,3,98.54
38,32768,1,46.34
38,32768,2,53.81
38,32768,3,142.23
38,65536,1,91.21
38,65536,2,85.10
38,65536,3,223.61
38,131072,1,158.39
38,131072,2,150.94
38,131072,3,387.81
38,262144,1,419.86
38,262144,2,284.23
38,262144,3,714.18
38,524288,1,787.16
38,524288,2,536.75
38,524288,3,1357.86
38,1048576,1,1613.74
38,1048576,2,1036.15
38,1048576,3,2755.74
40,2,1,5.89
40,2,2,5.10
40,2,3,9.61
40,4,1,5.07
40,4,2,4.52
40,4,3,8.84
40,8,1,4.53
40,8,2,4.74
40,8,3,8.64
40,16,1,5.54
40,16,2,4.86
40,16,3,8.46
40,32,1,4.93
40,32,2,5.01
40,32,3,9.84
40,64,1,4.86
40,64,2,5.44
40,64,3,11.69
40,128,1,44.76
40,128,2,20.44
40,128,3,54.37
40,256,1,33.82
40,256,2,20.33
40,256,3,45.85
40,512,1,27.67
40,512,2,15.51
40,512,3,39.41
40,1024,1,37.24
40,1024,2,21.12
40,1024,3,51.86
40,2048,1,47.90
40,2048,2,26.63
40,2048,3,70.16
40,4096,1,73.38
40,4096,2,42.82
40,4096,3,114.63
40,8192,1,86.28
40,8192,2,46.37
40,8192,3,120.77
40,16384,1,31.46
40,16384,2,38.46
40,16384,3,104.23
40,32768,1,52.20
40,32768,2,56.23
40,32768,3,149.37
40,65536,1,99.27
40,65536,2,84.57
40,65536,3,234.27
40,131072,1,178.52
40,131072,2,157.71
40,131072,3,410.28
40,262144,1,422.33
40,262144,2,290.56
40,262144,3,748.54
40,524288,1,775.70
40,524288,2,548.67
40,524288,3,1435.31
40,1048576,1,1649.33
40,1048576,2,1076.18
40,1048576,3,3561.39
42,2,1,5.38
42,2,2,5.20
42,2,3,10.65
42,4,1,4.80
42,4,2,4.63
42,4,3,9.23
42,8,1,4.52
42,8,2,4.54
42,8,3,8.93
42,16,1,5.73
42,16,2,4.27
42,16,3,8.92
42,32,1,5.11
42,32,2,4.59
42,32,3,10.23
42,64,1,5.05
42,64,2,5.33
42,64,3,10.67
42,128,1,46.14
42,128,2,24.55
42,128,3,57.33
42,256,1,35.59
42,256,2,20.64
42,256,3,50.11
42,512,1,28.97
42,512,2,16.57
42,512,3,40.92
42,1024,1,38.11
42,1024,2,20.10
42,1024,3,55.00
42,2048,1,49.05
42,2048,2,25.90
42,2048,3,73.94
42,4096,1,79.85
42,4096,2,42.69
42,4096,3,122.51
42,8192,1,89.74
42,8192,2,46.92
42,8192,3,124.92
42,16384,1,31.89
42,16384,2,38.87
42,16384,3,108.73
42,32768,1,56.19
42,32768,2,56.17
42,32768,3,156.22
42,65536,1,126.24
42,65536,2,90.40
42,65536,3,244.40
42,131072,1,211.53
42,131072,2,156.09
42,131072,3,429.86
42,262144,1,422.36
42,262144,2,301.02
42,262144,3,789.14
42,524288,1,858.33
42,524288,2,551.14
42,524288,3,1506.78
42,1048576,1,1635.06
42,1048576,2,1120.83
42,1048576,3,3068.71
44,2,1,5.36
44,2,2,4.62
44,2,3,11.16
44,4,1,4.74
44,4,2,4.34
44,4,3,10.00
44,8,1,4.52
44,8,2,3.98
44,8,3,9.87
44,16,1,6.30
44,16,2,3.91
44,16,3,9.26
44,32,1,5.43
44,32,2,4.31
44,32,3,10.48
44,64,1,5.19
44,64,2,7.83
44,64,3,12.43
44,128,1,46.06
44,128,2,21.07
44,128,3,60.32
44,256,1,36.77
44,256,2,21.39
44,256,3,52.97
44,512,1,29.08
44,512,2,16.62
44,512,3,43.07
44,1024,1,39.29
44,1024,2,19.94
44,1024,3,57.21
44,2048,1,51.01
44,2048,2,27.34
44,2048,3,79.28
44,4096,1,80.30
44,4096,2,44.77
44,4096,3,126.61
44,8192,1,91.91
44,8192,2,49.57
44,8192,3,132.89
44,16384,1,37.26
44,16384,2,40.74
44,16384,3,114.75
44,32768,1,66.65
44,32768,2,57.70
44,32768,3,164.49
