Processes,Size,Algorithm,Latency
40,2048,3,14.98
40,4096,1,7.35
40,4096,2,119.51
40,4096,3,11.08
40,8192,1,7.10
40,8192,2,121.02
40,8192,3,13.19
40,16384,1,6.98
40,16384,2,120.22
40,16384,3,19.26
40,32768,1,6.78
40,32768,2,120.42
40,32768,3,14.74
40,65536,1,7.12
40,65536,2,119.75
40,65536,3,12.20
40,131072,1,7.21
40,131072,2,118.90
40,131072,3,15.86
40,262144,1,7.04
40,262144,2,121.11
40,262144,3,12.71
40,524288,1,7.25
40,524288,2,118.40
40,524288,3,12.17
40,1048576,1,7.20
40,1048576,2,117.74
40,1048576,3,12.78
42,2,1,7.76
42,2,2,125.18
42,2,3,15.06
42,4,1,8.82
42,4,2,125.21
42,4,3,16.95
42,8,1,8.49
42,8,2,125.20
42,8,3,16.50
42,16,1,7.60
42,16,2,124.75
42,16,3,16.35
42,32,1,7.44
42,32,2,125.51
42,32,3,15.07
42,64,1,8.03
42,64,2,126.34
42,64,3,17.41
42,128,1,7.67
42,128,2,125.47
42,128,3,17.10
42,256,1,8.69
42,256,2,125.73
42,256,3,15.63
42,512,1,7.50
42,512,2,126.13
42,512,3,15.32
42,1024,1,7.35
42,1024,2,126.06
42,1024,3,17.46
42,2048,1,7.65
42,2048,2,124.90
42,2048,3,17.46
42,4096,1,7.73
42,4096,2,125.13
42,4096,3,16.12
42,8192,1,10.40
42,8192,2,124.34
42,8192,3,14.77
42,16384,1,7.54
42,16384,2,124.66
42,16384,3,16.82
42,32768,1,7.43
42,32768,2,124.15
42,32768,3,15.89
42,65536,1,7.46
42,65536,2,124.50
42,65536,3,14.54
42,131072,1,7.57
42,131072,2,124.44
42,131072,3,14.25
42,262144,1,7.63
42,262144,2,125.06
42,262144,3,13.21
42,524288,1,7.28
42,524288,2,125.23
42,524288,3,14.93
42,1048576,1,7.13
42,1048576,2,124.42
42,1048576,3,22.34
44,2,1,8.43
44,2,2,131.57
44,2,3,14.30
44,4,1,7.70
44,4,2,133.63
44,4,3,16.51
44,8,1,7.83
44,8,2,130.82
44,8,3,19.52
44,16,1,9.02
44,16,2,133.02
44,16,3,14.77
44,32,1,8.01
44,32,2,131.18
44,32,3,15.97
44,64,1,8.02
44,64,2,132.36
44,64,3,14.21
44,128,1,7.95
44,128,2,131.88
44,128,3,13.51
44,256,1,7.55
44,256,2,130.62
44,256,3,16.41
44,512,1,7.80
44,512,2,130.16
44,512,3,16.00
44,1024,1,8.57
44,1024,2,130.77
44,1024,3,13.70
44,2048,1,7.95
44,2048,2,131.16
44,2048,3,15.69
44,4096,1,9.29
44,4096,2,131.33
44,4096,3,15.67
44,8192,1,8.10
44,8192,2,131.93
44,8192,3,14.94
44,16384,1,7.48
44,16384,2,131.97
44,16384,3,14.94
44,32768,1,7.73
44,32768,2,130.85
44,32768,3,13.04
44,65536,1,7.92
44,65536,2,130.37
44,65536,3,15.42
44,131072,1,7.62
44,131072,2,130.34
44,131072,3,15.06
44,262144,1,7.66
44,262144,2,129.36
44,262144,3,16.53
44,524288,1,7.61
44,524288,2,130.18
